Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1
Screw,"18-8 Stainless Steel Socket Head Screw M2 x 0.4 mm Thread, 12 mm Long",,15,mcmaster,91292A834
Screw,"Narrow Cheese Head Phillips Screws M2 x 0.4mm Thread, 8mm Long",,5,mcmaster,94017A108
Screw,"Narrow Cheese Head Phillips Screws M2 x 0.4mm Thread, 5mm Long",,2,mcmaster,94017A102
Insert,"HC SERIES CHEVERON INSERTS, M2 T",,22,"Tri-Star Industries, Inc.",HM20X157C
Power Cable,PICOBLADE 2 CIRCUIT 300MM,,1,Molex,151340203
20POS FFC,"CABLE FFC 20POS 0.50MM 3.94",,1,Würth Elektronik,687720100002
